"","samp_name","source_mat_id","sample_alt_lab_ids","biosamples_accession","tissue_type","molecular_sex","molecular_sex_reference","samp_taxon_common","samp_taxon_ID","specific_host","latitude","longitude","geo_loc_name","site_name","sample_age","sample_age_upper","sample_age_lower","sample_age_inference_methods","c14_age","c14_age_sd","c14_lab_code","delta_13_c","delta_13_c_sd","sample_age_reference","nuclear_sequencing_platform","nuclear_library_strategy","nuclear_depth_of_coverage","nuclear_damage_treatment","nuclear_lib_strandedness","nuclear_reference","mt_sequencing_platform","mt_library_strategy","mt_targeted_region","mt_depth_of_coverage","mt_damage_treatment","mt_lib_strandedness","mt_accession","mt_reference","curator_comments","curated_by","curation_complete",".sheet"
"370","Semnan17","MM TSC11","AH006-4","SAMEA4607424","petrous part of temporal bone, UBERON_0001711","F","https://doi.org/10.1126/science.aas9415","Goat","9925","Capra, Capra hircus","36.504158","55.000786","Iran","Sang-e Chakhmaq, Semnan","7950","8200","7700","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.12","full-udg","double","https://doi.org/10.1126/science.aas9415","not applicable","WGS","not applicable","149.93","not applicable","not applicable","LS992649.1","not applicable",NA,"Kevin","Yes","capra"
"371","Shiqmim1","1993; R13; 4241; A554","KD163","SAMEA4609156","petrous part of temporal bone, UBERON_0001716","F","https://doi.org/10.1126/science.aas9420","Goat","9925","Capra, Capra hircus","31.194641","34.627068","Israel","Shiqmim, Northern Negev","5950","6250","5650","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","3e-04","full-udg","double","https://doi.org/10.1126/science.aas9420","ILLUMINA","Targeted-Capture","complete","7","full-udg","double","LS992653.1","doi.org/10.1126/science.aas9411",NA,"Kevin","Yes","capra"
"372","Shiqmim9","1993, 5004, C38","KD221","SAMEA4609157","petrous part of temporal bone, UBERON_0001717","M","https://doi.org/10.1126/science.aas9421","Goat","9925","Capra, Capra hircus","31.194641","34.627068","Israel","Shiqmim, Northern Negev","5950","6250","5650","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","6e-04","full-udg","double","https://doi.org/10.1126/science.aas9421","ILLUMINA","Targeted-Capture","complete","0.85","full-udg","double","LS992648.1","doi.org/10.1126/science.aas9411",NA,"Kevin","Yes","capra"
"373","Sibirica1","MNHN ZM AC 1997-1776","Sibirica1","SAMEA13853354","mandible, UBERON:0001684","M","https://doi.org/10.7554/eLife.82989","Ibex","2619455","Capra, unclassified Capra","missing","missing","missing","Born at the Muséum national d'Histoire naturelle zoo, France","-47","-27","-47","historical records","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.04","full-udg","double","https://doi.org/10.7554/eLife.82989","not applicable","WGS","not applicable","163.16","not applicable","not applicable","OW568858.1","not applicable","Unclear year of death","Kevin","Yes","capra"
"374","Sibirica2","MNHN ZM AC 1974-98","Sibirica2","SAMEA13853355","mandible, UBERON:0001684","F","https://doi.org/10.7554/eLife.82989","Ibex","2619455","Capra, unclassified Capra","missing","missing","missing","Born at the Muséum national d'Histoire naturelle zoo, France","-24","-4","-24","historical records","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","1.48","full-udg","double","https://doi.org/10.7554/eLife.82989","not applicable","WGS","not applicable","205.78","not applicable","not applicable","OW568913.1","not applicable","Unclear year of death","Kevin","Yes","capra"
"375","Tac1","missing","Tac1","SAMEA4609735","missing","F","https://doi.org/10.1126/science.aas9411","Goat","9925","Capra, Capra hircus","41.471809","46.011955","Georgia","Tachti Perda, Kakheti","3150","3350","2950","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","not applicable","full-udg","double","https://doi.org/10.1126/science.aas9411","missing; ILLUMINA","AMPLICON; Targeted-Capture","d-loop; complete","11.45","none; full-udg","double","missing;LS992654.1","doi.org/10.1515/9783110266306.45; doi.org/10.1126/science.aas9411",NA,"Kevin","Yes","capra"
"376","Tac2","missing","Tac2","SAMEA4609736","missing","F","https://doi.org/10.1126/science.aas9412","Goat","9925","Capra, Capra hircus","41.471809","46.011955","Georgia","Tachti Perda, Kakheti","2800","2950","2650","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","not applicable","full-udg","double","https://doi.org/10.1126/science.aas9412","missing; ILLUMINA","AMPLICON; Targeted-Capture","d-loop; complete","12.39","none; full-udg","double","missing;LS992655.1","doi.org/10.1515/9783110266306.45; doi.org/10.1126/science.aas9411",NA,"Kevin","Yes","capra"
"377","Tac3","missing","Tac3","SAMEA4609140","missing","F","https://doi.org/10.1126/science.aas9413","Goat","9925","Capra, Capra hircus","41.471809","46.011955","Georgia","Tachti Perda, Kakheti","3150","3350","2950","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.13","full-udg","double","https://doi.org/10.1126/science.aas9413","missing; ILLUMINA","AMPLICON; Targeted-Capture","d-loop; complete","25.27","none; full-udg","double","missing;LS992661.1","doi.org/10.1515/9783110266306.45; doi.org/10.1126/science.aas9411",NA,"Kevin","Yes","capra"
"378","Tur1","MNHN ZM AC 1982-1092","tur1","SAMN10995957","mandible, UBERON:0001684","M","https://doi.org/10.1126/sciadv.aaz5216","West Caucasian tur","72540","Capra, Capra caucasica","missing","missing","missing","missing","-32","-12","-32","historical records","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","3.52","full-udg","double","https://doi.org/10.1126/sciadv.aaz5216","not applicable","WGS","not applicable","not applicable","not applicable","not applicable","missing","not applicable","Unclear year of death","Kevin","Yes","capra"
"379","Tur2","MNHN ZM AC 1945-68","tur2","SAMEA13853356","mandible, UBERON:0001684","F","https://doi.org/10.7554/eLife.82989","East Caucasian tur","72541","Capra, Capra cylindricornis","missing","missing","missing","missing","5","25","5","historical records","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.02","full-udg","double","https://doi.org/10.7554/eLife.82989","not applicable","WGS","not applicable","4.96","not applicable","not applicable","OW568915.1","not applicable","Unclear year of death","Kevin","Yes","capra"
